episode,mode,seed,success,total_steps,total_depth,total_reward,budget_exhausted,max_total_depth,wall_time_seconds,parse_failure_count,depth_distribution
0,adaptive,0,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
1,adaptive,1,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
2,adaptive,2,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
3,adaptive,3,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
4,adaptive,4,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
5,adaptive,5,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
6,adaptive,6,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
7,adaptive,7,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
8,adaptive,8,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
9,adaptive,9,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
10,adaptive,10,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
11,adaptive,11,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
12,adaptive,12,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
13,adaptive,13,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
14,adaptive,14,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
15,adaptive,15,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
16,adaptive,16,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
17,adaptive,17,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
18,adaptive,18,True,58,0,0.43,False,150,0.0,0,"{""0"": 58, ""1"": 0, ""2"": 0, ""3"": 0}"
19,adaptive,19,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
20,adaptive,20,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
21,adaptive,21,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
22,adaptive,22,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
23,adaptive,23,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
24,adaptive,24,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
25,adaptive,25,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
26,adaptive,26,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
27,adaptive,27,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
28,adaptive,28,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
29,adaptive,29,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
