episode,mode,seed,success,total_steps,total_depth,total_reward,budget_exhausted,max_total_depth,wall_time_seconds,parse_failure_count,depth_distribution
0,fixed_deep,0,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
1,fixed_deep,1,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
2,fixed_deep,2,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
3,fixed_deep,3,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
4,fixed_deep,4,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
5,fixed_deep,5,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
6,fixed_deep,6,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
7,fixed_deep,7,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
8,fixed_deep,8,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
9,fixed_deep,9,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
10,fixed_deep,10,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
11,fixed_deep,11,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
12,fixed_deep,12,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
13,fixed_deep,13,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
14,fixed_deep,14,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
15,fixed_deep,15,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
16,fixed_deep,16,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
17,fixed_deep,17,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
18,fixed_deep,18,True,58,0,0.43,False,150,0.0,0,"{""0"": 58, ""1"": 0, ""2"": 0, ""3"": 0}"
19,fixed_deep,19,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
20,fixed_deep,20,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
21,fixed_deep,21,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
22,fixed_deep,22,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
23,fixed_deep,23,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
24,fixed_deep,24,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
25,fixed_deep,25,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
26,fixed_deep,26,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
27,fixed_deep,27,False,100,0,-1.0,False,150,0.001,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
28,fixed_deep,28,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
29,fixed_deep,29,False,100,0,-1.0,False,150,0.0,0,"{""0"": 100, ""1"": 0, ""2"": 0, ""3"": 0}"
