episode,step,pos_x,pos_y,action,action_was_parsed,complexity,depth,reward,cumulative_depth,depth_budget_remaining,done,success
0,0,0,1,right,False,0.56398,0,-0.01,0,150,False,False
0,1,0,0,left,False,0.545646,0,-0.01,0,150,False,False
0,2,1,0,down,False,0.56398,0,-0.01,0,150,False,False
0,3,2,0,down,False,0.460646,0,-0.01,0,150,False,False
0,4,2,1,right,False,0.442313,0,-0.01,0,150,False,False
0,5,2,2,right,False,0.33898,0,-0.01,0,150,False,False
0,6,3,2,down,False,0.405646,0,-0.01,0,150,False,False
0,7,3,1,left,False,0.387313,0,-0.01,0,150,False,False
0,8,3,2,right,False,0.320646,0,-0.01,0,150,False,False
0,9,3,1,left,False,0.387313,0,-0.01,0,150,False,False
0,10,4,1,down,False,0.320646,0,-0.01,0,150,False,False
0,11,4,0,left,False,0.387313,0,-0.01,0,150,False,False
0,12,3,0,up,False,0.405646,0,-0.01,0,150,False,False
0,13,4,0,down,False,0.42398,0,-0.01,0,150,False,False
0,14,3,0,up,False,0.405646,0,-0.01,0,150,False,False
0,15,2,0,up,False,0.42398,0,-0.01,0,150,False,False
0,16,2,1,right,False,0.442313,0,-0.01,0,150,False,False
0,17,2,0,left,False,0.33898,0,-0.01,0,150,False,False
0,18,2,1,right,False,0.442313,0,-0.01,0,150,False,False
0,19,3,1,down,False,0.33898,0,-0.01,0,150,False,False
0,20,3,0,left,False,0.320646,0,-0.01,0,150,False,False
0,21,2,0,up,False,0.42398,0,-0.01,0,150,False,False
0,22,2,1,right,False,0.442313,0,-0.01,0,150,False,False
0,23,1,1,up,False,0.33898,0,-0.01,0,150,False,False
0,24,1,0,left,False,0.357313,0,-0.01,0,150,False,False
0,25,2,0,down,False,0.460646,0,-0.01,0,150,False,False
0,26,2,1,right,False,0.442313,0,-0.01,0,150,False,False
0,27,1,1,up,False,0.33898,0,-0.01,0,150,False,False
0,28,1,0,left,False,0.357313,0,-0.01,0,150,False,False
0,29,2,0,down,False,0.460646,0,-0.01,0,150,False,False
0,30,3,0,down,False,0.442313,0,-0.01,0,150,False,False
0,31,3,1,right,False,0.42398,0,-0.01,0,150,False,False
0,32,4,1,down,False,0.320646,0,-0.01,0,150,False,False
0,33,4,0,left,False,0.387313,0,-0.01,0,150,False,False
0,34,5,0,down,False,0.405646,0,-0.01,0,150,False,False
0,35,6,0,down,False,0.387313,0,-0.01,0,150,False,False
0,36,5,0,up,False,0.53898,0,-0.01,0,150,False,False
0,37,4,0,up,False,0.387313,0,-0.01,0,150,False,False
0,38,4,1,right,False,0.405646,0,-0.01,0,150,False,False
0,39,3,1,up,False,0.387313,0,-0.01,0,150,False,False
0,40,2,1,up,False,0.320646,0,-0.01,0,150,False,False
0,41,2,2,right,False,0.33898,0,-0.01,0,150,False,False
0,42,2,1,left,False,0.405646,0,-0.01,0,150,False,False
0,43,1,1,up,False,0.33898,0,-0.01,0,150,False,False
0,44,1,2,right,False,0.357313,0,-0.01,0,150,False,False
0,45,1,1,left,False,0.42398,0,-0.01,0,150,False,False
0,46,2,1,down,False,0.357313,0,-0.01,0,150,False,False
0,47,2,0,left,False,0.33898,0,-0.01,0,150,False,False
0,48,2,1,right,False,0.442313,0,-0.01,0,150,False,False
0,49,1,1,up,False,0.33898,0,-0.01,0,150,False,False
0,50,2,1,down,False,0.357313,0,-0.01,0,150,False,False
0,51,3,1,down,False,0.33898,0,-0.01,0,150,False,False
0,52,4,1,down,False,0.320646,0,-0.01,0,150,False,False
0,53,3,1,up,False,0.387313,0,-0.01,0,150,False,False
0,54,3,2,right,False,0.320646,0,-0.01,0,150,False,False
0,55,2,2,up,False,0.387313,0,-0.01,0,150,False,False
0,56,1,2,up,False,0.405646,0,-0.01,0,150,False,False
0,57,1,1,left,False,0.42398,0,-0.01,0,150,False,False
0,58,1,2,right,False,0.357313,0,-0.01,0,150,False,False
0,59,2,2,down,False,0.42398,0,-0.01,0,150,False,False
0,60,3,2,down,False,0.405646,0,-0.01,0,150,False,False
0,61,3,3,right,False,0.387313,0,-0.01,0,150,False,False
0,62,3,2,left,False,0.36898,0,-0.01,0,150,False,False
0,63,3,3,right,False,0.387313,0,-0.01,0,150,False,False
0,64,4,3,down,False,0.36898,0,-0.01,0,150,False,False
0,65,4,4,right,False,0.435646,0,-0.01,0,150,False,False
0,66,5,4,down,False,0.247313,0,-0.01,0,150,False,False
0,67,6,4,down,False,0.39898,0,-0.01,0,150,False,False
0,68,6,5,right,False,0.210646,0,-0.01,0,150,False,False
0,69,7,5,down,False,0.277313,0,-0.01,0,150,False,False
0,70,7,6,right,False,0.17398,0,-0.01,0,150,False,False
0,71,7,5,left,False,0.155646,0,-0.01,0,150,False,False
0,72,8,5,down,False,0.17398,0,-0.01,0,150,False,False
0,73,9,5,down,False,0.240646,0,-0.01,0,150,False,False
0,74,8,5,up,False,0.222313,0,-0.01,0,150,False,False
0,75,7,5,up,False,0.240646,0,-0.01,0,150,False,False
0,76,8,5,down,False,0.17398,0,-0.01,0,150,False,False
0,77,7,5,up,False,0.240646,0,-0.01,0,150,False,False
0,78,7,4,left,False,0.17398,0,-0.01,0,150,False,False
0,79,7,5,right,False,0.362313,0,-0.01,0,150,False,False
0,80,6,5,up,False,0.17398,0,-0.01,0,150,False,False
0,81,7,5,down,False,0.277313,0,-0.01,0,150,False,False
0,82,8,5,down,False,0.17398,0,-0.01,0,150,False,False
0,83,7,5,up,False,0.240646,0,-0.01,0,150,False,False
0,84,6,5,up,False,0.17398,0,-0.01,0,150,False,False
0,85,7,5,down,False,0.277313,0,-0.01,0,150,False,False
0,86,7,6,right,False,0.17398,0,-0.01,0,150,False,False
0,87,7,5,left,False,0.155646,0,-0.01,0,150,False,False
0,88,8,5,down,False,0.17398,0,-0.01,0,150,False,False
0,89,7,5,up,False,0.240646,0,-0.01,0,150,False,False
0,90,7,6,right,False,0.17398,0,-0.01,0,150,False,False
0,91,7,5,left,False,0.155646,0,-0.01,0,150,False,False
0,92,7,6,right,False,0.17398,0,-0.01,0,150,False,False
0,93,7,7,right,False,0.155646,0,-0.01,0,150,False,False
0,94,7,6,left,False,0.137313,0,-0.01,0,150,False,False
0,95,6,6,up,False,0.155646,0,-0.01,0,150,False,False
0,96,6,5,left,False,0.17398,0,-0.01,0,150,False,False
0,97,6,6,right,False,0.277313,0,-0.01,0,150,False,False
0,98,5,6,up,False,0.17398,0,-0.01,0,150,False,False
0,99,6,6,down,False,0.362313,0,-0.01,0,150,True,False
1,0,1,0,down,False,0.56398,0,-0.01,0,150,False,False
1,1,1,1,right,False,0.460646,0,-0.01,0,150,False,False
1,2,0,1,up,False,0.357313,0,-0.01,0,150,False,False
1,3,0,0,left,False,0.460646,0,-0.01,0,150,False,False
1,4,1,0,down,False,0.56398,0,-0.01,0,150,False,False
1,5,2,0,down,False,0.460646,0,-0.01,0,150,False,False
1,6,3,0,down,False,0.442313,0,-0.01,0,150,False,False
1,7,4,0,down,False,0.42398,0,-0.01,0,150,False,False
1,8,4,1,right,False,0.405646,0,-0.01,0,150,False,False
1,9,5,1,down,False,0.387313,0,-0.01,0,150,False,False
1,10,6,1,down,False,0.28398,0,-0.01,0,150,False,False
1,11,5,1,up,False,0.435646,0,-0.01,0,150,False,False
1,12,5,2,right,False,0.28398,0,-0.01,0,150,False,False
1,13,5,1,left,False,0.435646,0,-0.01,0,150,False,False
1,14,5,2,right,False,0.28398,0,-0.01,0,150,False,False
1,15,5,3,right,False,0.435646,0,-0.01,0,150,False,False
1,16,5,2,left,False,0.332313,0,-0.01,0,150,False,False
1,17,5,1,left,False,0.435646,0,-0.01,0,150,False,False
1,18,5,2,right,False,0.28398,0,-0.01,0,150,False,False
1,19,5,3,right,False,0.435646,0,-0.01,0,150,False,False
1,20,5,2,left,False,0.332313,0,-0.01,0,150,False,False
1,21,5,1,left,False,0.435646,0,-0.01,0,150,False,False
1,22,4,1,up,False,0.28398,0,-0.01,0,150,False,False
1,23,5,1,down,False,0.387313,0,-0.01,0,150,False,False
1,24,4,1,up,False,0.28398,0,-0.01,0,150,False,False
1,25,3,1,up,False,0.387313,0,-0.01,0,150,False,False
1,26,2,1,up,False,0.320646,0,-0.01,0,150,False,False
1,27,2,0,left,False,0.42398,0,-0.01,0,150,False,False
1,28,2,1,right,False,0.442313,0,-0.01,0,150,False,False
1,29,1,1,up,False,0.42398,0,-0.01,0,150,False,False
1,30,1,2,right,False,0.357313,0,-0.01,0,150,False,False
1,31,0,2,up,False,0.50898,0,-0.01,0,150,False,False
1,32,0,1,left,False,0.527313,0,-0.01,0,150,False,False
1,33,0,2,right,False,0.460646,0,-0.01,0,150,False,False
1,34,1,2,down,False,0.527313,0,-0.01,0,150,False,False
1,35,0,2,up,False,0.50898,0,-0.01,0,150,False,False
1,36,0,1,left,False,0.527313,0,-0.01,0,150,False,False
1,37,0,0,left,False,0.460646,0,-0.01,0,150,False,False
1,38,1,0,down,False,0.56398,0,-0.01,0,150,False,False
1,39,2,0,down,False,0.460646,0,-0.01,0,150,False,False
1,40,1,0,up,False,0.442313,0,-0.01,0,150,False,False
1,41,1,1,right,False,0.460646,0,-0.01,0,150,False,False
1,42,2,1,down,False,0.357313,0,-0.01,0,150,False,False
1,43,3,1,down,False,0.42398,0,-0.01,0,150,False,False
1,44,3,0,left,False,0.320646,0,-0.01,0,150,False,False
1,45,2,0,up,False,0.42398,0,-0.01,0,150,False,False
1,46,3,0,down,False,0.442313,0,-0.01,0,150,False,False
1,47,3,1,right,False,0.42398,0,-0.01,0,150,False,False
1,48,2,1,up,False,0.320646,0,-0.01,0,150,False,False
1,49,1,1,up,False,0.42398,0,-0.01,0,150,False,False
1,50,1,0,left,False,0.357313,0,-0.01,0,150,False,False
1,51,0,0,up,False,0.460646,0,-0.01,0,150,False,False
1,52,0,1,right,False,0.56398,0,-0.01,0,150,False,False
1,53,0,2,right,False,0.460646,0,-0.01,0,150,False,False
1,54,0,1,left,False,0.527313,0,-0.01,0,150,False,False
1,55,0,2,right,False,0.460646,0,-0.01,0,150,False,False
1,56,1,2,down,False,0.527313,0,-0.01,0,150,False,False
1,57,1,1,left,False,0.50898,0,-0.01,0,150,False,False
1,58,1,0,left,False,0.357313,0,-0.01,0,150,False,False
1,59,1,1,right,False,0.460646,0,-0.01,0,150,False,False
1,60,1,2,right,False,0.357313,0,-0.01,0,150,False,False
1,61,1,1,left,False,0.50898,0,-0.01,0,150,False,False
1,62,0,1,up,False,0.357313,0,-0.01,0,150,False,False
1,63,0,0,left,False,0.460646,0,-0.01,0,150,False,False
1,64,1,0,down,False,0.56398,0,-0.01,0,150,False,False
1,65,1,1,right,False,0.460646,0,-0.01,0,150,False,False
1,66,1,2,right,False,0.357313,0,-0.01,0,150,False,False
1,67,1,1,left,False,0.50898,0,-0.01,0,150,False,False
1,68,2,1,down,False,0.357313,0,-0.01,0,150,False,False
1,69,3,1,down,False,0.42398,0,-0.01,0,150,False,False
1,70,3,0,left,False,0.320646,0,-0.01,0,150,False,False
1,71,2,0,up,False,0.42398,0,-0.01,0,150,False,False
1,72,3,0,down,False,0.442313,0,-0.01,0,150,False,False
1,73,3,1,right,False,0.42398,0,-0.01,0,150,False,False
1,74,2,1,up,False,0.320646,0,-0.01,0,150,False,False
1,75,1,1,up,False,0.42398,0,-0.01,0,150,False,False
1,76,1,2,right,False,0.357313,0,-0.01,0,150,False,False
1,77,1,1,left,False,0.50898,0,-0.01,0,150,False,False
1,78,1,2,right,False,0.357313,0,-0.01,0,150,False,False
1,79,0,2,up,False,0.50898,0,-0.01,0,150,False,False
1,80,0,1,left,False,0.527313,0,-0.01,0,150,False,False
1,81,1,1,down,False,0.460646,0,-0.01,0,150,False,False
1,82,1,0,left,False,0.357313,0,-0.01,0,150,False,False
1,83,1,1,right,False,0.460646,0,-0.01,0,150,False,False
1,84,1,2,right,False,0.357313,0,-0.01,0,150,False,False
1,85,0,2,up,False,0.50898,0,-0.01,0,150,False,False
1,86,1,2,down,False,0.527313,0,-0.01,0,150,False,False
1,87,0,2,up,False,0.50898,0,-0.01,0,150,False,False
1,88,1,2,down,False,0.527313,0,-0.01,0,150,False,False
1,89,0,2,up,False,0.50898,0,-0.01,0,150,False,False
1,90,1,2,down,False,0.527313,0,-0.01,0,150,False,False
1,91,1,1,left,False,0.50898,0,-0.01,0,150,False,False
1,92,1,0,left,False,0.357313,0,-0.01,0,150,False,False
1,93,1,1,right,False,0.460646,0,-0.01,0,150,False,False
1,94,1,0,left,False,0.357313,0,-0.01,0,150,False,False
1,95,2,0,down,False,0.460646,0,-0.01,0,150,False,False
1,96,3,0,down,False,0.442313,0,-0.01,0,150,False,False
1,97,3,1,right,False,0.42398,0,-0.01,0,150,False,False
1,98,2,1,up,False,0.320646,0,-0.01,0,150,False,False
1,99,3,1,down,False,0.42398,0,-0.01,0,150,True,False
2,0,1,0,down,False,0.56398,0,-0.01,0,150,False,False
2,1,0,0,up,False,0.545646,0,-0.01,0,150,False,False
2,2,1,0,down,False,0.56398,0,-0.01,0,150,False,False
2,3,1,1,right,False,0.545646,0,-0.01,0,150,False,False
2,4,2,1,down,False,0.357313,0,-0.01,0,150,False,False
2,5,3,1,down,False,0.50898,0,-0.01,0,150,False,False
2,6,4,1,down,False,0.405646,0,-0.01,0,150,False,False
2,7,5,1,down,False,0.302313,0,-0.01,0,150,False,False
2,8,4,1,up,False,0.28398,0,-0.01,0,150,False,False
2,9,5,1,down,False,0.302313,0,-0.01,0,150,False,False
2,10,5,2,right,False,0.28398,0,-0.01,0,150,False,False
2,11,5,3,right,False,0.265646,0,-0.01,0,150,False,False
2,12,5,2,left,False,0.332313,0,-0.01,0,150,False,False
2,13,5,1,left,False,0.265646,0,-0.01,0,150,False,False
2,14,5,2,right,False,0.28398,0,-0.01,0,150,False,False
2,15,5,1,left,False,0.265646,0,-0.01,0,150,False,False
2,16,4,1,up,False,0.28398,0,-0.01,0,150,False,False
2,17,3,1,up,False,0.302313,0,-0.01,0,150,False,False
2,18,4,1,down,False,0.405646,0,-0.01,0,150,False,False
2,19,4,2,right,False,0.302313,0,-0.01,0,150,False,False
2,20,4,1,left,False,0.28398,0,-0.01,0,150,False,False
2,21,4,2,right,False,0.302313,0,-0.01,0,150,False,False
2,22,4,3,right,False,0.28398,0,-0.01,0,150,False,False
2,23,5,3,down,False,0.265646,0,-0.01,0,150,False,False
2,24,5,2,left,False,0.332313,0,-0.01,0,150,False,False
2,25,6,2,down,False,0.265646,0,-0.01,0,150,False,False
2,26,7,2,down,False,0.247313,0,-0.01,0,150,False,False
2,27,8,2,down,False,0.22898,0,-0.01,0,150,False,False
2,28,7,2,up,False,0.380646,0,-0.01,0,150,False,False
2,29,8,2,down,False,0.22898,0,-0.01,0,150,False,False
2,30,8,1,left,False,0.380646,0,-0.01,0,150,False,False
2,31,9,1,down,False,0.22898,0,-0.01,0,150,False,False
2,32,8,1,up,False,0.380646,0,-0.01,0,150,False,False
2,33,8,0,left,False,0.22898,0,-0.01,0,150,False,False
2,34,9,0,down,False,0.417313,0,-0.01,0,150,False,False
2,35,9,1,right,False,0.39898,0,-0.01,0,150,False,False
2,36,9,0,left,False,0.380646,0,-0.01,0,150,False,False
2,37,9,1,right,False,0.39898,0,-0.01,0,150,False,False
2,38,9,0,left,False,0.380646,0,-0.01,0,150,False,False
2,39,9,1,right,False,0.39898,0,-0.01,0,150,False,False
2,40,9,0,left,False,0.380646,0,-0.01,0,150,False,False
2,41,8,0,up,False,0.39898,0,-0.01,0,150,False,False
2,42,8,1,right,False,0.417313,0,-0.01,0,150,False,False
2,43,8,2,right,False,0.22898,0,-0.01,0,150,False,False
2,44,7,2,up,False,0.380646,0,-0.01,0,150,False,False
2,45,7,3,right,False,0.22898,0,-0.01,0,150,False,False
2,46,7,2,left,False,0.380646,0,-0.01,0,150,False,False
2,47,7,3,right,False,0.22898,0,-0.01,0,150,False,False
2,48,7,2,left,False,0.380646,0,-0.01,0,150,False,False
2,49,7,3,right,False,0.22898,0,-0.01,0,150,False,False
2,50,7,2,left,False,0.380646,0,-0.01,0,150,False,False
2,51,7,1,left,False,0.22898,0,-0.01,0,150,False,False
2,52,7,2,right,False,0.332313,0,-0.01,0,150,False,False
2,53,7,3,right,False,0.22898,0,-0.01,0,150,False,False
2,54,7,2,left,False,0.380646,0,-0.01,0,150,False,False
2,55,8,2,down,False,0.22898,0,-0.01,0,150,False,False
2,56,8,1,left,False,0.380646,0,-0.01,0,150,False,False
2,57,9,1,down,False,0.22898,0,-0.01,0,150,False,False
2,58,9,0,left,False,0.380646,0,-0.01,0,150,False,False
2,59,9,1,right,False,0.39898,0,-0.01,0,150,False,False
2,60,9,0,left,False,0.380646,0,-0.01,0,150,False,False
2,61,9,1,right,False,0.39898,0,-0.01,0,150,False,False
2,62,9,0,left,False,0.380646,0,-0.01,0,150,False,False
